,,,,,,
№,Номенклатура,Тип оборудования,,,,
,,операция 1,операция 2,операция 3,операция 4,операция 5
1,Переходник 1,Сварка,Окраска,,,
1.1,Муфта А1,Пила,Токарный,Фрезерный,Сверление,
1.2,Муфта А2,Пила,Токарный,Фрезерный,Сверление,
2,Переходник 2,Сварка,Окраска,,,
2.1,Муфта Б1,Пила,Токарный,Фрезерный,Сверление,
2.2,Муфта Б2,Пила,Токарный,Фрезерный,Сверление,
3,Ролик 1,Сварка,Окраска,,,
3.1,Корпус 1В,Фрезерный,Токарный,Сверление,,
3.2,Ось эксцентриковая 2В,Пила,Токарный,,,
3.3,Фланец-заготовка 3В,Пила,Токарный,Сверление,,
3.4,Ось-заготовка 4В,Пила,Токарный,,,
3.5,Колесо 5В,Пила,Токарный,Фрезерный,,
3.6,Бобышка 6В,Пила,Токарный,Фрезерный,,
4,Ролик 2,Сварка,Окраска,,,
4.1,Корпус 1С,Фрезерный,Токарный,Сверление,,
4.2,Ось эксцентриковая 2С,Пила,Токарный,,,
4.3,Фланец-заготовка 3С,Пила,Токарный,Сверление,,
4.4,Ось-заготовка 4С,Пила,Токарный,,,
4.5,Колесо 5С,Пила,Токарный,Фрезерный,,
4.6,Бобышка 6С,Пила,Токарный,Фрезерный,,
5,Ролик каретки 3,Сварка,Окраска,,,
5.1,Шайба 1Д,Пила,Токарный,,,
5.2,Шайба 2Д,Пила,Токарный,,,
5.3,Ролик 3Д,Пила,Токарный,Фрезерный,,
5.4,Крышка 4Д,Плазменная,Токарный,Сверление,,
5.5,Втулка 5Д,Пила,Токарный,Фрезерный,,
5.6,Вставка 6Д,Плазменная,Токарный,Фрезерный,Сверление,Окраска
6,Изделие №6,Плазменная,Токарный,Фрезерный,,
7,Изделие №7,Плазменная,Фрезерный,Сверление,Окраска,
8,Изделие №8,Плазменная,Токарный,,,
9,Изделие №9,Плазменная,Фрезерный,Токарный,Окраска,
10,Изделие №10,Плазменная,Токарный,,,
11,Изделие №11,Плазменная,Фрезерный,Сверление,,
12,Изделие №12,Плазменная,Токарный,,,
13,Изделие №13,Плазменная,Фрезерный,Токарный,,
14,Изделие №14,Плазменная,Токарный,,,
15,Изделие №15,Плазменная,Фрезерный,Сверление,Окраска,
16,Изделие №16,Пила,Токарный,,,
17,Изделие №17,Пила,Фрезерный,Сверление,Сварка,Токарный
18,Изделие №18,Плазменная,Токарный,,,
19,Изделие №19,Плазменная,Фрезерный,Токарный,,
20,Изделие №20,Пила,Токарный,Фрезерный,,
21,Изделие №21,Пила,Фрезерный,Токарный,Сверление,
22,Изделие №22,Плазменная,Токарный,,,
23,Изделие №23,Плазменная,Фрезерный,Токарный,,
24,Изделие №24,Пила,Токарный,Фрезерный,Сверление,
25,Изделие №25,Пила,Фрезерный,Сверление,,
26,Изделие №26,Плазменная,Токарный,,,
27,Изделие №27,Плазменная,Фрезерный,,,
28,Изделие №28,Пила,Токарный,Фрезерный,Окраска,
29,Изделие №29,Пила,Фрезерный,Токарный,Сверление,Сварка
30,Изделие №30,Пила,Токарный,Фрезерный,Сверление,
31,Изделие №31,Пила,Фрезерный,Токарный,,
32,Изделие №32,Плазменная,Токарный,Фрезерный,Окраска,
33,Изделие №33,Плазменная,Фрезерный,,,
34,Изделие №34,Пила,Токарный,,,
35,Изделие №35,Пила,Фрезерный,Токарный,,
36,Изделие №36,Плазменная,Токарный,Фрезерный,Сверление,
37,Изделие №37,Плазменная,Фрезерный,,,
38,Изделие №38,Пила,Токарный,Сверление,,
39,Изделие №39,Пила,Фрезерный,Токарный,Сверление,Сварка
40,Изделие №40,Фрезерный,Токарный,,,
41,Изделие №41,Токарный,Фрезерный,Сверление,,
42,Изделие №42,Фрезерный,Токарный,,,
43,Изделие №43,Токарный,Фрезерный,Сверление,Окраска,
44,Изделие №44,Пила,Фрезерный,Токарный,Сверление,Сварка
45,Изделие №45,Фрезерный,Токарный,Сверление,,
46,Изделие №46,Токарный,Фрезерный,,,
47,Изделие №47,Фрезерный,Токарный,Сверление,Окраска,
48,Изделие №48,Пила,Фрезерный,Токарный,Сверление,Сварка
49,Изделие №49,Фрезерный,Токарный,Сверление,,
50,Изделие №50,Токарный,Фрезерный,Сверление,,
