№;Номенклатура;Пила;Плазменная;Токарный;Фрезерный;Сверление;Сварка;Окраска
1;Переходник 1;;;;;;0;0
1.1;Муфта А1;5;;10;15;1;;
1.2;Муфта А2;5;;10;15;1;;
2;Переходник 2;;;;;;0;0
2.1;Муфта Б1;5;;10;15;1;;
2.2;Муфта Б2;5;;10;15;1;;
3;Ролик 1;;;;;;0;0
3.1;Корпус 1В;;;10;25;10;;
3.2;Ось эксцентриковая 2В;5;;10;;;;
3.3;Фланец-заготовка 3В;5;;10;;1;;
3.4;Ось-заготовка 4В;5;;10;;;;
3.5;Колесо 5В;5;;10;5;;;
3.6;Бобышка 6В;5;;10;5;;;
4;Ролик 2;;;;;;0;0
4.1;Корпус 1С;;;10;25;10;;
4.2;Ось эксцентриковая 2С;5;;10;;;;
4.3;Фланец-заготовка 3С;5;;10;;1;;
4.4;Ось-заготовка 4С;5;;10;;;;
4.5;Колесо 5С;5;;10;5;;;
4.6;Бобышка 6С;5;;10;5;;;
5;Ролик каретки 3;;;;;;0;0
5.1;Шайба 1Д;5;;10;;;;
5.2;Шайба 2Д;5;;10;;;;
5.3;Ролик 3Д;5;;10;5;;;
5.4;Крышка 4Д;;10;10;;3;;
5.5;Втулка 5Д;5;;5;5;;;
5.6;Вставка 6Д;;10;5;5;1;;0
6;Изделие №6;;10;10;5;;;
7;Изделие №7;;10;;5;1;;0
8;Изделие №8;;10;10;;;;
9;Изделие №9;;10;10;5;;;0
10;Изделие №10;;10;10;;;;
11;Изделие №11;;10;;5;1;;
12;Изделие №12;;10;10;;;;
13;Изделие №13;;10;10;5;;;
14;Изделие №14;;10;5;;;;
15;Изделие №15;;10;;5;15;;0
16;Изделие №16;5;;10;;;;
17;Изделие №17;5;;10;5;1;0;
18;Изделие №18;;10;10;;;;
19;Изделие №19;;10;10;10;;;
20;Изделие №20;5;;10;5;;;
21;Изделие №21;5;;10;5;1;;
22;Изделие №22;;10;10;;;;
23;Изделие №23;;10;10;5;;;
24;Изделие №24;5;;5;5;1;;
25;Изделие №25;5;;;5;1;;
26;Изделие №26;;10;5;;;;
27;Изделие №27;;10;;5;;;
28;Изделие №28;5;;10;5;;;0
29;Изделие №29;5;;10;5;1;0;
30;Изделие №30;5;;10;5;1;;
31;Изделие №31;5;;10;5;;;
32;Изделие №32;;10;5;5;;;0
33;Изделие №33;;10;;5;;;
34;Изделие №34;5;;10;;;;
35;Изделие №35;5;;10;5;;;
36;Изделие №36;;10;10;5;1;;
37;Изделие №37;;10;;5;;;
38;Изделие №38;5;;5;;1;;
39;Изделие №39;5;;5;5;1;0;
40;Изделие №40;;;5;5;;;
41;Изделие №41;;;10;5;1;;
42;Изделие №42;;;10;5;;;
43;Изделие №43;;;10;5;1;;0
44;Изделие №44;5;;10;5;1;0;
45;Изделие №45;;;10;5;1;;
46;Изделие №46;;;10;5;;;
47;Изделие №47;;;10;5;1;;0
48;Изделие №48;5;;5;5;15;0;
49;Изделие №49;;;5;5;1;;
50;Изделие №50;;;10;5;1;;
